GEOID,County,State,farmfertN-kg-2017
1001,Autauga,AL,1103100
1003,Baldwin,AL,5830690
1005,Barbour,AL,1101166
1007,Bibb,AL,453085
1009,Blount,AL,1678061
1011,Bullock,AL,679822
1013,Butler,AL,576347
1015,Calhoun,AL,913352
1017,Chambers,AL,756213
1019,Cherokee,AL,2835114
1021,Chilton,AL,652308
1023,Choctaw,AL,185997
1025,Clarke,AL,405813
1027,Clay,AL,522752
1029,Cleburne,AL,382548
1031,Coffee,AL,2090271
1033,Colbert,AL,3479232
1035,Conecuh,AL,1096829
1037,Coosa,AL,145160
1039,Covington,AL,2238210
1041,Crenshaw,AL,724205
1043,Cullman,AL,2151803
1045,Dale,AL,1692276
1047,Dallas,AL,2217743
1049,DeKalb,AL,3567213
1051,Elmore,AL,1301747
1053,Escambia,AL,2415815
1055,Etowah,AL,1112925
1057,Fayette,AL,985220
1059,Franklin,AL,943983
1061,Geneva,AL,2795407
1063,Greene,AL,223138
1065,Hale,AL,767526
1067,Henry,AL,2194640
1069,Houston,AL,4325397
1071,Jackson,AL,3442793
1073,Jefferson,AL,197982
1075,Lamar,AL,299069
1077,Lauderdale,AL,3812591
1079,Lawrence,AL,4787628
1081,Lee,AL,2172399
1083,Limestone,AL,5538650
1085,Lowndes,AL,1140565
1087,Macon,AL,1347400
1089,Madison,AL,4906641
1091,Marengo,AL,760216
1093,Marion,AL,495317
1095,Marshall,AL,1614747
1097,Mobile,AL,3757688
1099,Monroe,AL,2020077
1101,Montgomery,AL,1121245
1103,Morgan,AL,1776138
1105,Perry,AL,943948
1107,Pickens,AL,874282
1109,Pike,AL,1321126
1111,Randolph,AL,940890
1113,Russell,AL,1110282
1115,St. Clair,AL,649775
1117,Shelby,AL,630663
1119,Sumter,AL,524717
1121,Talladega,AL,977223
1123,Tallapoosa,AL,449754
1125,Tuscaloosa,AL,509321
1127,Walker,AL,461487
1129,Washington,AL,1093224
1131,Wilcox,AL,549695
1133,Winston,AL,435810
4001,Apache,AZ,366711
4003,Cochise,AZ,8007221
4005,Coconino,AZ,75866
4007,Gila,AZ,22770
4009,Graham,AZ,3004335
4011,Greenlee,AZ,214120
4013,Maricopa,AZ,14763763
4015,Mohave,AZ,1229958
4017,Navajo,AZ,288916
4019,Pima,AZ,3305510
4021,Pinal,AZ,16498685
4023,Santa Cruz,AZ,233533
4025,Yavapai,AZ,486019
4027,Yuma,AZ,28775794
5001,Arkansas,AR,16903076
5003,Ashley,AR,3877088
5005,Baxter,AR,415784
5007,Benton,AR,1967651
5009,Boone,AR,1829737
5011,Bradley,AR,267758
5013,Calhoun,AR,102271
5015,Carroll,AR,1255514
5017,Chicot,AR,6735331
5019,Clark,AR,458735
5021,Clay,AR,11311801
5023,Cleburne,AR,639599
5025,Cleveland,AR,117596
5027,Columbia,AR,264753
5029,Conway,AR,1337957
5031,Craighead,AR,12372127
5033,Crawford,AR,843337
5035,Crittenden,AR,6953029
5037,Cross,AR,9758651
5039,Dallas,AR,46494
5041,Desha,AR,9636016
5043,Drew,AR,1968801
5045,Faulkner,AR,844399
5047,Franklin,AR,886638
5049,Fulton,AR,1157908
5051,Garland,AR,107641
5053,Grant,AR,114625
5055,Greene,AR,9048735
5057,Hempstead,AR,791140
5059,Hot Spring,AR,167174
5061,Howard,AR,525445
5063,Independence,AR,2305433
5065,Izard,AR,823133
5067,Jackson,AR,8282264
5069,Jefferson,AR,8450859
5071,Johnson,AR,551740
5073,Lafayette,AR,1950178
5075,Lawrence,AR,9128537
5077,Lee,AR,9276757
5079,Lincoln,AR,5241381
5081,Little River,AR,1374460
5083,Logan,AR,956973
5085,Lonoke,AR,10496424
5087,Madison,AR,1546327
5089,Marion,AR,744351
5091,Miller,AR,1329856
5093,Mississippi,AR,14376705
5095,Monroe,AR,7411142
5097,Montgomery,AR,256690
5099,Nevada,AR,266123
5101,Newton,AR,455521
5103,Ouachita,AR,106705
5105,Perry,AR,484884
5107,Phillips,AR,11119229
5109,Pike,AR,429010
5111,Poinsett,AR,11396081
5113,Polk,AR,668342
5115,Pope,AR,796979
5117,Prairie,AR,8622374
5119,Pulaski,AR,878848
5121,Randolph,AR,4024222
5123,St. Francis,AR,7241911
5125,Saline,AR,189515
5127,Scott,AR,181137
5129,Searcy,AR,621843
5131,Sebastian,AR,302868
5133,Sevier,AR,670970
5135,Sharp,AR,679021
5137,Stone,AR,594877
5139,Union,AR,280455
5141,Van Buren,AR,646647
5143,Washington,AR,1719121
5145,White,AR,2744626
5147,Woodruff,AR,7071930
5149,Yell,AR,641346
6001,Alameda,CA,884711
6003,Alpine,CA,33585
6005,Amador,CA,325515
6007,Butte,CA,14024241
6009,Calaveras,CA,294422
6011,Colusa,CA,15976281
6013,Contra Costa,CA,1378000
6015,Del Norte,CA,236626
6017,El Dorado,CA,341363
6019,Fresno,CA,59809492
6021,Glenn,CA,16174185
6023,Humboldt,CA,499500
6025,Imperial,CA,41463241
6027,Inyo,CA,62508
6029,Kern,CA,54498131
6031,Kings,CA,24223022
6033,Lake,CA,868506
6035,Lassen,CA,1490474
6037,Los Angeles,CA,2931901
6039,Madera,CA,18278614
6041,Marin,CA,277616
6043,Mariposa,CA,89948
6045,Mendocino,CA,1564056
6047,Merced,CA,39615200
6049,Modoc,CA,4131939
6051,Mono,CA,308863
6053,Monterey,CA,45431531
6055,Napa,CA,6015990
6057,Nevada,CA,179284
6059,Orange,CA,1492369
6061,Placer,CA,1065022
6063,Plumas,CA,155792
6065,Riverside,CA,15024880
6067,Sacramento,CA,7712900
6069,San Benito,CA,3214155
6071,San Bernardino,CA,1817033
6073,San Diego,CA,11323861
6075,San Francisco,CA,41258
6077,San Joaquin,CA,34420236
6079,San Luis Obispo,CA,10760542
6081,San Mateo,CA,803624
6083,Santa Barbara,CA,18473884
6085,Santa Clara,CA,7858547
6087,Santa Cruz,CA,7733562
6089,Shasta,CA,1424589
6091,Sierra,CA,60534
6093,Siskiyou,CA,4778253
6095,Solano,CA,6892805
6097,Sonoma,CA,6577169
6099,Stanislaus,CA,37170414
6101,Sutter,CA,13230690
6103,Tehama,CA,4660645
6105,Trinity,CA,93851
6107,Tulare,CA,42899440
6109,Tuolumne,CA,287617
6111,Ventura,CA,21079581
6113,Yolo,CA,14351826
6115,Yuba,CA,3868997
8001,Adams,CO,6024842
8003,Alamosa,CO,4531664
8005,Arapahoe,CO,719577
8007,Archuleta,CO,122252
8009,Baca,CO,6024209
8011,Bent,CO,950967
8013,Boulder,CO,1095301
8015,Chaffee,CO,213108
8017,Cheyenne,CO,6363844
8019,Clear Creek,CO,5467
8021,Conejos,CO,1298494
8023,Costilla,CO,1070995
8025,Crowley,CO,407361
8027,Custer,CO,229197
8029,Delta,CO,1873234
8031,Denver,CO,50754
8033,Dolores,CO,455292
8035,Douglas,CO,346940
8037,Eagle,CO,151213
8039,Elbert,CO,985471
8041,El Paso,CO,446809
8043,Fremont,CO,203610
8045,Garfield,CO,630264
8047,Gilpin,CO,5361
8049,Grand,CO,203792
8051,Gunnison,CO,257712
8053,Hinsdale,CO,5698
8055,Huerfano,CO,113736
8057,Jackson,CO,331002
8059,Jefferson,CO,121470
8061,Kiowa,CO,3989602
8063,Kit Carson,CO,17603809
8065,Lake,CO,9397
8067,La Plata,CO,882952
8069,Larimer,CO,2086271
8071,Las Animas,CO,294714
8073,Lincoln,CO,4011278
8075,Logan,CO,9946285
8077,Mesa,CO,1880575
8079,Mineral,CO,2997
8081,Moffat,CO,705452
8083,Montezuma,CO,2168923
8085,Montrose,CO,1715410
8087,Morgan,CO,8164444
8089,Otero,CO,1705428
8091,Ouray,CO,83390
8093,Park,CO,27551
8095,Phillips,CO,11192600
8097,Pitkin,CO,24194
8099,Prowers,CO,5044896
8101,Pueblo,CO,771057
8103,Rio Blanco,CO,338862
8105,Rio Grande,CO,4589880
8107,Routt,CO,312496
8109,Saguache,CO,4990703
8111,San Juan,CO,4928
8113,San Miguel,CO,93951
8115,Sedgwick,CO,7065712
8117,Summit,CO,24578
8119,Teller,CO,17652
8121,Washington,CO,13143228
8123,Weld,CO,18497820
8125,Yuma,CO,21265667
9001,Fairfield,CT,204255
9003,Hartford,CT,1543141
9005,Litchfield,CT,712491
9007,Middlesex,CT,386441
9009,New Haven,CT,1230202
9011,New London,CT,1431629
9013,Tolland,CT,688529
9015,Windham,CT,574508
10001,Kent,DE,6840385
10003,New Castle,DE,1855176
10005,Sussex,DE,9269952
12001,Alachua,FL,2789666
12003,Baker,FL,155939
12005,Bay,FL,93797
12007,Bradford,FL,487458
12009,Brevard,FL,1753159
12011,Broward,FL,288251
12013,Calhoun,FL,1676000
12015,Charlotte,FL,2711316
12017,Citrus,FL,472085
12019,Clay,FL,127599
12021,Collier,FL,6289707
12023,Columbia,FL,1330587
12027,DeSoto,FL,7237265
12029,Dixie,FL,686060
12031,Duval,FL,203450
12033,Escambia,FL,1297824
12035,Flagler,FL,774100
12037,Franklin,FL,4079
12039,Gadsden,FL,1363588
12041,Gilchrist,FL,1903771
12043,Glades,FL,2967852
12045,Gulf,FL,24634
12047,Hamilton,FL,1794695
12049,Hardee,FL,6356886
12051,Hendry,FL,11835154
12053,Hernando,FL,618713
12055,Highlands,FL,6049861
12057,Hillsborough,FL,6827879
12059,Holmes,FL,1179989
12061,Indian River,FL,5745817
12063,Jackson,FL,6720248
12065,Jefferson,FL,836584
12067,Lafayette,FL,1879329
12069,Lake,FL,4342981
12071,Lee,FL,3274992
12073,Leon,FL,224988
12075,Levy,FL,2109904
12077,Liberty,FL,47662
12079,Madison,FL,1887411
12081,Manatee,FL,9207292
12083,Marion,FL,3039769
12085,Martin,FL,3092402
12086,Miami-Dade,FL,12605252
12087,Monroe,FL,10814
12089,Nassau,FL,193833
12091,Okaloosa,FL,645689
12093,Okeechobee,FL,3551948
12095,Orange,FL,5922407
12097,Osceola,FL,3888786
12099,Palm Beach,FL,27933236
12101,Pasco,FL,1443750
12103,Pinellas,FL,28995
12105,Polk,FL,9879988
