FIPS,YEAR,IR-WFrTo
1001,2015,3.52
1003,2015,58.28
1005,2015,2.96
1007,2015,0.19
1009,2015,1.08
1011,2015,2.00
1013,2015,0.99
1015,2015,3.15
1017,2015,0.23
1019,2015,2.82
1021,2015,0.49
1023,2015,0.17
1025,2015,0.28
1027,2015,0.12
1029,2015,0.14
1031,2015,3.87
1033,2015,2.43
1035,2015,0.21
1037,2015,0.10
1039,2015,3.46
1041,2015,0.58
1043,2015,0.91
1045,2015,2.08
1047,2015,3.20
1049,2015,2.64
1051,2015,3.08
1053,2015,1.74
1055,2015,1.00
1057,2015,0.37
1059,2015,0.84
1061,2015,5.47
1063,2015,0.45
1065,2015,1.07
1067,2015,5.87
1069,2015,7.55
1071,2015,1.28
1073,2015,5.88
1075,2015,0.24
1077,2015,1.80
1079,2015,2.58
1081,2015,3.17
1083,2015,9.75
1085,2015,5.73
1087,2015,5.92
1089,2015,9.15
1091,2015,0.43
1093,2015,0.27
1095,2015,2.07
1097,2015,10.91
1099,2015,0.57
1101,2015,6.27
1103,2015,1.04
1105,2015,0.63
1107,2015,1.95
1109,2015,1.46
1111,2015,0.14
1113,2015,7.45
1115,2015,1.72
1117,2015,5.17
1119,2015,0.76
1121,2015,4.78
1123,2015,0.91
1125,2015,5.66
1127,2015,0.72
1129,2015,0.23
1131,2015,0.45
1133,2015,0.18
2013,2015,0.00
2016,2015,0.01
2020,2015,0.41
2050,2015,0.00
2060,2015,0.00
2068,2015,0.02
2070,2015,0.00
2090,2015,0.24
2100,2015,0.00
2105,2015,0.00
2110,2015,0.01
2122,2015,0.06
2130,2015,0.00
2150,2015,0.00
2158,2015,0.00
2164,2015,0.00
2170,2015,0.54
2180,2015,0.00
2185,2015,0.00
2188,2015,0.00
2195,2015,0.00
2198,2015,0.00
2220,2015,0.00
2230,2015,0.00
2240,2015,0.23
2261,2015,0.00
2275,2015,0.00
2282,2015,0.00
2290,2015,0.00
4001,2015,1.95
4003,2015,217.57
4005,2015,0.28
4007,2015,3.05
4009,2015,183.54
4011,2015,9.40
4012,2015,612.86
4013,2015,1232.80
4015,2015,111.85
4017,2015,10.41
4019,2015,92.26
4021,2015,935.11
4023,2015,6.97
4025,2015,31.14
4027,2015,1079.69
5001,2015,1675.81
5003,2015,159.83
5005,2015,0.00
5007,2015,0.00
5009,2015,0.00
5011,2015,0.00
5013,2015,0.00
5015,2015,0.00
5017,2015,271.76
5019,2015,5.37
5021,2015,830.10
5023,2015,0.00
5025,2015,0.00
5027,2015,0.00
5029,2015,4.05
5031,2015,496.13
5033,2015,2.49
5035,2015,256.13
5037,2015,593.44
5039,2015,0.00
5041,2015,628.49
5043,2015,50.16
5045,2015,5.49
5047,2015,0.01
5049,2015,0.24
5051,2015,0.00
5053,2015,0.00
5055,2015,356.35
5057,2015,0.00
5059,2015,2.12
5061,2015,0.00
5063,2015,95.29
5065,2015,0.00
5067,2015,595.19
5069,2015,359.94
5071,2015,0.01
5073,2015,13.60
5075,2015,255.63
5077,2015,334.30
5079,2015,265.07
5081,2015,33.39
5083,2015,0.00
5085,2015,901.81
5087,2015,0.00
5089,2015,0.00
5091,2015,0.23
5093,2015,35.25
5095,2015,310.99
5097,2015,0.00
5099,2015,0.00
5101,2015,0.00
5103,2015,0.00
5105,2015,1.46
5107,2015,260.19
5109,2015,0.00
5111,2015,966.93
5113,2015,0.36
5115,2015,0.53
5117,2015,541.03
5119,2015,52.03
5121,2015,185.14
5123,2015,363.99
5125,2015,2.25
5127,2015,0.05
5129,2015,0.00
5131,2015,0.30
5133,2015,0.01
5135,2015,0.00
5137,2015,0.04
5139,2015,0.00
5141,2015,0.00
5143,2015,0.03
5145,2015,141.22
5147,2015,512.14
5149,2015,0.00
6001,2015,9.51
6003,2015,9.69
6005,2015,20.75
6007,2015,752.68
6009,2015,8.80
6011,2015,695.25
6013,2015,87.09
6015,2015,16.42
6017,2015,26.78
6019,2015,1616.63
6021,2015,660.65
6023,2015,59.97
6025,2015,1850.34
6027,2015,17.50
6029,2015,1617.68
6031,2015,637.42
6033,2015,52.79
6035,2015,88.68
6037,2015,34.60
6039,2015,772.43
6041,2015,41.02
6043,2015,17.45
6045,2015,68.70
6047,2015,970.62
6049,2015,171.49
6051,2015,58.53
6053,2015,168.86
6055,2015,102.70
6057,2015,48.44
6059,2015,11.89
6061,2015,133.48
6063,2015,102.78
6065,2015,741.79
6067,2015,442.06
6069,2015,15.12
6071,2015,33.33
6073,2015,118.28
6075,2015,0.58
6077,2015,1190.25
6079,2015,78.97
6081,2015,23.08
6083,2015,55.95
6085,2015,8.10
6087,2015,31.34
6089,2015,160.97
6091,2015,23.36
6093,2015,201.48
6095,2015,395.52
6097,2015,210.34
6099,2015,1034.16
6101,2015,636.09
6103,2015,269.33
6105,2015,10.72
6107,2015,1395.96
6109,2015,3.15
6111,2015,85.11
6113,2015,571.68
6115,2015,314.62
8001,2015,87.03
8003,2015,136.61
8005,2015,3.56
8007,2015,41.95
8009,2015,125.24
8011,2015,167.81
8013,2015,103.76
8014,2015,1.38
8015,2015,115.24
8017,2015,29.35
8019,2015,0.00
8021,2015,293.97
8023,2015,92.85
8025,2015,11.87
8027,2015,34.78
8029,2015,341.47
8031,2015,1.53
8033,2015,4.16
8035,2015,11.74
8037,2015,132.14
8039,2015,15.14
8041,2015,8.58
8043,2015,95.48
8045,2015,234.45
8047,2015,0.00
8049,2015,183.29
8051,2015,520.53
8053,2015,20.45
8055,2015,38.07
8057,2015,340.40
8059,2015,22.27
8061,2015,1.71
8063,2015,110.88
8065,2015,14.01
8067,2015,322.14
8069,2015,119.13
8071,2015,21.09
8073,2015,4.54
8075,2015,143.12
